Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Grant S.,CEO,"Computer Software, 1-10 employees",2+ years,4,2,2,3,3,5,GetApp,17/01/2018,,"Quickbooks is a robust system that can support a lot of different types of business. I used the desktop version for many years, and for the past 3 years have used the subscription service. The SaaS version is a big upgrade, but it still has a lot of issues. I do really like the ability to link to my bank account and automatically sort transactions. This has saved me a lot of time.","The main issues with Quickbooks seem to stem for a lack of leadership around product decisions. They support many different types of the software, and this makes it next to impossible to integrate with Quickbooks. Legacy issues have plagued the ability to integrate software with Quickbooks and this has had a real impact on users. The most common issue is duplicate imports of banking transactions. I have wasted a lot of time trying to identify duplicates created by the system instead of true purchases."
Mechade T.,Painter,"Construction, 1-10 employees",Less than 6 months,5,4,3,5,4,8,Capterra,07/04/2023,,"Quickbooks online advanced is great in many way here is few : invoicing on site from my phone, customer payment reminders. In the event that your device is stolen you can restore all you information and continue where you left off with the cloud storage backup. Its just fast.",Transitioning from desktop to online the layout is a bit challenging especially for contractor accounting Its kind of expensive to run for a micro - small business   
Rick L.,CEO,"Events Services, 1-10 employees",2+ years,4,1,2,2,2,3,Capterra,16/02/2023,Currently looking for a better option without the steep price you pay to not have the same version as the desktop version.  ,It is accessible from any place that I might be. ,There is not enough space to place the cons.  Nearly every professional accountant can not stand a business using the online version.  Professionals not liking you using a product is a problem.  The first issue is that it is only about 20% compatible with the desktop version.  With business being on the go and mobile this is not the software you want.  You can not navigate the online version the same way as the desktop version.  Many features available on the desktop version are not available online. 
modesta i.,consultant,"Accounting, 1-10 employees",6-12 months,4,5,5,4,5,9,Capterra,05/02/2023,It's an easy to use software overall,Quickbooks online is easy to use for business bookkeeping and efficient reporting. Clients prefer this to other bookkeeping software,It was difficult to import trial balance from the previous software. I could not see the option to import TB
Delphine L.,Freelance,"E-Learning, Self-employed",2+ years,4,5,4,5,4,7,Capterra,15/12/2022,Ce logiciel de comptabilité  de gestion financière est très précieux pour mon auto-entreprise de formation à distance mais convient aussi aux PME,"QuickBooks Online Advanced est une solution professionnelle à petit prix, très riche en fonctionnalités mais très simple à utiliser. Il permet d'organiser de façon fluide ses finances, de gérer des stocks, des ventes et des bulletins de paie .  De plus, il permet d'intégrer de nombreuses applications.  Son ergonomie et ses fonctionnalités  pratiques en font un outil Intuitif et efficace. ","Mon seul reproche est que lorsque j'ai appelé le service client, j'ai été aidé par des représentants qui en savent moins que moi sur leur programme. la tarification un peu élevée l faut un peu de temps pour s'y habituer. Surtout lorsque vous configurez le système pour la première fois"
Rick I.,Owner,"Facilities Services, 11-50 employees",2+ years,5,5,4,5,5,10,Capterra,15/11/2022,Very happy and I recommend any small to medium company use this product,I have used it for 10 years and all my information is in one place and I can easily do comparisons,Search and Finding customers and checks. Sometime when I have a question and I call tech support I end up with someone who is very new and I feel like I know more than they do. I don't like to be on hold till they find the answer.
Mona W.,Owner,"Accounting, Self-employed",2+ years,3,3,2,3,3,6,Capterra,18/10/2022,"I kkep books on clients and myself.  I do not really like it, but what else is there to use?",The bank feeds and rules make day to day entries easier and I love the bank reconciliation product.  I think it makes cients more efficient.,The ability for cients to delete anything without questions and the fact that you are constantly changing the way we enter transactions.  The apps for inventory and POS usually do not work well leading to double postings.
Cody M.,Controller,"Entertainment, 51-200 employees",1-2 years,4,4,3,3,5,7,Capterra,10/08/2021,"Positive, Quickbooks can serve MOST small businesses' accounting needs, however, be mindful of scaling business needs to determine if the ERP can scale with your company.","The ease of use - it is one of the most user-friendly ERPs from an accounting standpoint. There are a lot of good features ""out of the box"" without heavily customizing things. Easy to toggle permissions, users, and key internal controls.","Where business needs start to expand to heavily customized areas, Quickbooks can fall short. The API connectors and syncing abilities with many softwares are not as robust as NetSuite or Microsoft Dynamics."
Verified Reviewer,,"Restaurants, 51-200 employees",2+ years,4,4,,4,5,8,Capterra,07/07/2021,"Overall it's great. Would recommend. That being said, not sure what other options are out there!","Does it great job of tracking invoices, payroll, billing, etc. writing checks are very easy. There are aspects that could be approved on but overall it does a great job. ","Billing/invoicing. When you apply credits to an account then you print a new invoice, you have to manually apply. Even after you manually apply, the credits do not apply to the new invoices."
Cynthia H.,Office Manager,"Consumer Services, 1-10 employees",2+ years,1,1,1,1,2,0,Capterra,05/10/2020,"10 days of chat tech support and pulling out my hair. Since intuit will no longer be supporting desktop in the near future, I'll be going to other accounting software January of 21",I was excited to think all my records would be safe and sound forever!,"The migration tool doesn't work well. My records were a jumbled mess, and the tech support was awful. They'd say someone is going to call , then that person would email instead. By the time you reach out via email, the issue has been closed. HORRIBLE!!"
