Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
Alex Wang,5,2022-06-28,The Jurassic Park themed Bark Box was…,The Jurassic Park themed Bark Box was so cute. Hopper loves chewing on her new dino toys and dino jerky!,2022-06-28,0
Teresa Olesch,5,2022-08-01,You are really trying hard to please my…,You are really trying hard to please my Zeus. But he does seem to like the plush toys better than the super chewer. Can I go back to those?,2022-08-01,0
Dawn Thomson,5,2022-07-04,My dogs love BarkBox!,My dogs are always SO EXCITED for BarkBox! The toys are durable and super fun.,2022-07-04,0
Kathy Bumsted,5,2022-06-29,Love the treats that my two Labs…,Love the treats that my two Labs receive from BarkBox every month. They love them and they are always wanting more. thanks,2022-06-29,0
madison austin,5,2022-07-04,I love the boxes that you guys send,I love the boxes that you guys send! My pups recognize the box and get so excited when they arrive lol.,2022-07-04,0
Sally VerVynck,1,2023-01-27,Do not sign up with Barkbox,"This company has continually been late every month, but bills me.  Now they say it must be a problem with my address, yet Zi have been here 31 years and have never had a problem.

It is February 9 I still have not received My delayed box.  Started in October and have only received 2 boxes.  Still getting notices that my shipments are delayed!",2023-01-26,0
Allison W.,4,2022-07-05,The toys are great but the treats seem…,The toys are great but the treats seem to be the same two or three of which my pup doesn’t like one of them so…..,2022-07-05,0
Kenny Petronis,1,2023-03-08,Content thieves,"Content thieves! You took the video down. Yet haven’t publicly addressed the situation! Look at your comments on your IG and other social pages. You’re getting fried! Do the right thing, be transparent, admit you messed up and own it. Or lose more customers.",2023-03-08,0
Jesus Rivera,1,2022-12-06,Bark Box advertised a year subscription…,"Bark Box advertised a year subscription plan without providing a trail period. I received the first month packages and good items were provided, but the following months delays happened. Come to realize one box can last longer than expected. I wanted to adjust my plan to receive the Bark Box bi-monthly or even cancel the plan and purchase them independently. I’m stuck with this subscription for a year and I have no leeway. Bark box is not providing flexibility customer service and I do not give my stamp of approval. :(",2022-10-16,1
Curtis Hare,5,2022-07-04,My pitbull chewed up toys pretty good…,My pitbull chewed up toys pretty good and she was sent a new toy that she loves ❤  she also loves the snacks,2022-07-04,0
Maria,4,2022-07-04,I would have given 5 stars but the…,I would have given 5 stars but the treats are soo small my Brandy isn’t interested in them,2022-07-04,0
MARY FIGUEROA,4,2022-07-05,I am very happy with Bark Box,"I am very happy with Bark Box, my dog loves his new toys and treats every month.  If I want to switch up its easy to communicate with Bark Box",2022-07-05,0
Monica L,5,2022-06-28,Harley is enjoying both toys and…,Harley is enjoying both toys and munches up the snacks he has tried from this months box. Thank you,2022-06-28,0
The Colorful Gecko,1,2022-07-07,horrible customer service,"I accidentally subscribed for a year and emailed them and they refused to cancel my subscription. I kept getting cheap toys for a year that my dogs destroyed in a few hours, even though i selected large breeds. I assumed the toys would be tougher than normal. I am extremely dissapointed they would not let me unsub even after i told them my financial situation and how i didn’t mean too. horrible costumer service. I do not recommend if you have dogs that need tougher toys.",2022-07-07,2
Disappointed Customer,1,2023-01-13,Horrible products and service,"We've had experience with the super chewer box of toys and treats and the dental package. The super chewer toys aren't interesting for my dog, and the toys we received prior to upgrading were destroyed immediately. The treats made him sick. We have never had that issue with any other brand. Bark Box responded by making his subscription toys only, but we still had paid for plenty of unusable treats. We recently subscribed for the dental package with a free bed promotion. They were intentionally misleading, did not send the bed, and would not cancel the order even within the first day of placing the order. They were even going to charge me again for the next month if I did not mention a chargeback. Horrible service, and their products are very poor quality.",2023-01-13,1
P Martin,5,2022-07-04,Great products,"Great products, great service, and the items are very cleverly designed and packaged!
Pmartin",2022-07-04,0
Kathleen Kaczmarowski,5,2022-07-05,Very accommodating and prompt,Very accommodating and prompt.  Doggy really loves the box and its toys!,2022-07-05,0
Angela Flora,5,2022-07-07,Harley loves his box,"Harley loves his box! We have to try one of each treat right away. They’re his favorite, but he likes the toys, too. 😂",2022-07-07,0
Nicolas Evans,1,2023-03-04,Company scams and steals content.,"Company steals money from others, plagiarized their videos and refused to pay for any copyright infringement.
This is a scummy company that'll do anything they can to get your money. 
STAY AWAY, STAY FAR AWAY.",2023-03-04,1
Susan Jenkins,5,2022-07-05,I needed to unsubscribe from Barkbox…,I needed to unsubscribe from Barkbox and customer service was right on it.,2022-07-05,0
Arianna Rosario,5,2022-07-04,Coco looks forward to her cute creative…,Coco looks forward to her cute creative new toys every month. She’s loves every one of them!,2022-07-04,0
ildemarie ramirez,3,2022-07-04,The Toys that are sent are not used as…,The Toys that are sent are not used as Gigi does not enjoy hard toys. They ruin our floor instead of making our Dog happy. She enjoys stuffed crinkle toys/Tennis balls. The treats she enjoys.,2022-07-04,0
P W,1,2023-01-15,"Overpriced junk, BEWARE","I would actually give less than 1 star for customer service.  I ordered 1 box with an inro promo price of $12.95. I did not agree to monthly charges and I didn't see anywhere saying I had to cancel.  I received another box a month later, and with no warning I was charged $50. Customer service refused to allow a return or refund. Now I'm stuck with 2 $50 chunks of plastic my dog won't touch and 2 tiny sample size treat bags. Don't fall for it!!",2023-01-13,0
THOMAS DAVIS,5,2022-07-06,Best company Ever!,Best company Ever!!  So personal!!!  I love the Friends we have made and our Dog knows his Box when it comes!!  So cute!!,2022-07-06,0
Anita,5,2022-07-04,Treats were lovely,"Treats were lovely, at least Tilly seemed to think so, and the toys were interesting. Thank you🐶🐶🐶",2022-07-04,0
